id,name,price,price_mayorista,category,description,image
"1778691216927ltxg","Cable Impresora 1.8Mts 1.5Mts",5000,0,"Cables","Importado masivamente","assets/products/prod_1778691216927ltxg.jpg"
"1778691216927py2y","Cable Impresora 3.0Mts",6500,0,"Cables","Importado masivamente","assets/products/prod_1778691216927py2y.jpg"
"1778691216928c9dq","Cable Impresora 5.0Mts",8500,0,"Cables","Importado masivamente","assets/products/prod_1778691216928c9dq.jpg"
"1778691216929ueod","Cable Iphone 2.0mts 5 6 7",9500,0,"Cables","Importado masivamente","assets/products/prod_1778691216929ueod.jpg"
"177869121692989jk","Cable Iphone Generico",3500,0,"Cables","Importado masivamente","assets/products/prod_177869121692989jk.jpg"
"1778691216930ffo5","Cable Iphone Tipo C a Tipo C",6000,0,"Cables","Importado masivamente","assets/products/prod_1778691216930ffo5.jpg"
"177869121693058rr","Cable Lighting Iphone",6000,0,"Cables","Importado masivamente","assets/products/prod_177869121693058rr.jpg"
"1778691216931rhsi","Cable Micro USB Xiaomi",6000,0,"Cables","Importado masivamente","assets/products/prod_1778691216931rhsi.jpg"
"1778691216931cpku","Cable Micro Usb Carga Rapida",4000,0,"Cables","Importado masivamente","assets/products/prod_1778691216931cpku.jpg"
"17786912169326sbp","Cable MicroUsb Samsung Original",4000,0,"Cables","Importado masivamente","assets/products/prod_17786912169326sbp.jpg"
"1778691216932gzz3","Cable Mini Dsiplay Port Mac",9500,0,"Cables","Importado masivamente","assets/products/prod_1778691216932gzz3.jpg"
"17786912169339nb0","Cable MiniPlug 1.5Mts",2500,0,"Cables","Importado masivamente","assets/products/prod_17786912169339nb0.jpg"
"1778691216933id8u","Cable MiniPlug 3.0Mts",3500,0,"Cables","Importado masivamente","assets/products/prod_1778691216933id8u.jpg"
"1778691216934g7nk","Cable MiniPlug 4.5Mts",6000,0,"Cables","Importado masivamente","assets/products/prod_1778691216934g7nk.jpg"
"1779284285514v7n1","Cable Miniplug 3 Vias",8000,0,"Cables","","assets/products/prod_1779284285514v7n1.jpg"
"17786912169350trn","Cable Miniplug Extencion 1.5Mts",4000,0,"Cables","Importado masivamente","assets/products/prod_17786912169350trn.jpg"
"1778691216934ft8q","Cable Miniplug a 2 RCA 1.5Mts",2500,0,"Cables","Importado masivamente","assets/products/prod_1778691216934ft8q.jpg"
"177869121693573ou","Cable Miniplug a 2 RCA 3.0Mts",3500,0,"Cables","Importado masivamente","assets/products/prod_177869121693573ou.jpg"
"1778691273656bapp","Cable Molex Y",4000,0,"Cables","Importado masivamente","assets/products/prod_1778691273656bapp.jpg"
"1778691273656mcp3","Cable Molex a Poder 6 pines 8 Pines",5000,0,"Cables","Importado masivamente","assets/products/prod_1778691273656mcp3.jpg"
"1778691273657opgb","Cable Motorola Original",4000,0,"Cables","Importado masivamente","assets/products/prod_1778691273657opgb.jpg"
"1778691273659fw97","Cable OTG",3000,0,"Cables","Importado masivamente","assets/products/prod_1778691273659fw97.jpg"
"1778691273659b6qz","Cable OTG Tipo C",3000,0,"Cables","Importado masivamente","assets/products/prod_1778691273659b6qz.jpg"
"1778691273658vrn4","Cable Optico",6000,0,"Cables","Importado masivamente","assets/products/prod_1778691273658vrn4.jpg"
"1778691273660ue1h","Cable Play 2 a Rca",4500,0,"Cables","Importado masivamente","assets/products/prod_1778691273660ue1h.jpg"
"1778691273660lvab","Cable Play 4",5000,0,"Cables","Importado masivamente","assets/products/prod_1778691273660lvab.jpg"
"1778691273661wvty","Cable Power PC",4500,0,"Cables","Importado masivamente","assets/products/prod_1778691273661wvty.jpg"
"1778691273663q194","Cable Power Trebol Mickey",4500,0,"Cables","Importado masivamente","assets/products/prod_1778691273663q194.jpg"
"1778691273661c3qp","Cable Power infinito",4000,0,"Cables","Importado masivamente","assets/products/prod_1778691273661c3qp.jpg"
"17786912736634fvz","Cable Samsung Tipo C a Tipo C",6000,0,"Cables","Importado masivamente","assets/products/prod_17786912736634fvz.jpg"
"1778691273664e8pw","Cable Sata Datos Comun",4000,0,"Cables","Importado masivamente","assets/products/prod_1778691273664e8pw.jpg"
"1778691273665vsos","Cable Sata Doble",4000,0,"Cables","Importado masivamente","assets/products/prod_1778691273665vsos.jpg"
"1778691273665tuzh","Cable Sata Power",4000,0,"Cables","Importado masivamente","assets/products/prod_1778691273665tuzh.jpg"
"1778691273666vgzf","Cable Sata USB 3.0",15500,0,"Cables","Importado masivamente","assets/products/prod_1778691273666vgzf.jpg"
"Cab4354","Cable Tipo C Mallado 60W",8000,0,"Cables","","assets/products/prod_1781705687343.jpg"
"CAB435453","Cable Tipo C Premium Display",10000,0,"Cables","","assets/products/prod_1781705848257.jpg"
"1779282763945hbir","Cable Tipo C a Miniplug",6000,0,"Cables","","assets/products/prod_1779282763945hbir.jpg"
"1778691273667x9hf","Cable USB 4 Pines 5 Pines",3500,0,"Cables","Importado masivamente","assets/products/prod_1778691273667x9hf.jpg"
"1778691273667fgez","Cable USB Extencion 1.5Mts",5000,0,"Cables","Importado masivamente","assets/products/prod_1778691273667fgez.jpg"
"1778691273668zauo","Cable USB Macho Macho",4000,0,"Cables","Importado masivamente","assets/products/prod_1778691273668zauo.jpg"
"1778690911983fjgw","Cable Usb Reforzado multiple",8000,0,"Cables","Importado masivamente","assets/products/prod_1778690911983fjgw.jpg"
"1778691273670oals","Cable VGA 10.0Mts",17500,0,"Cables","Importado masivamente","assets/products/prod_1778691273670oals.jpg"
"17786912736701k8w","Cable VGA 15.0Mts",22000,0,"Cables","Importado masivamente","assets/products/prod_17786912736701k8w.jpg"
"1778691273669zwp8","Cable Vga 1.8Mts",5500,0,"Cables","Importado masivamente","assets/products/prod_1778691273669zwp8.jpg"
"1778691273671u17o","Cable Vga 3.0Mts Blindado",9500,0,"Cables","Importado masivamente","assets/products/prod_1778691273671u17o.jpg"
"17786912736715adz","Cable Vga 5.0Mts",8500,0,"Cables","Importado masivamente","assets/products/prod_17786912736715adz.jpg"
"1778691216918h83g","Cable de Red 10.0Mts",7000,0,"Cables","Importado masivamente","assets/products/prod_1778691216918h83g.jpg"
"177869121691814qn","Cable de Red 15.0",9500,0,"Cables","Importado masivamente","assets/products/prod_177869121691814qn.jpg"
"1778691216918kube","Cable de Red 2.0Mts",2500,0,"Cables","Importado masivamente","assets/products/prod_1778691216918kube.jpg"
"17786912169193o8c","Cable de Red 20.0 Mts",11000,0,"Cables","Importado masivamente","assets/products/prod_17786912169193o8c.jpg"
"1778691216919peql","Cable de Red 3.0Mts",3500,0,"Cables","Importado masivamente","assets/products/prod_1778691216919peql.jpg"
"1778691216921mhgd","Cable de Red 5.0Mts",5000,0,"Cables","Importado masivamente","assets/products/prod_1778691216921mhgd.jpg"
"177869121692146ex","Cable de Red Categoria 6 x Metro",1300,0,"Cables","Importado masivamente","assets/products/prod_177869121692146ex.jpg"
